timestamp,close,raw_signal,processed_signal,regime_probability,target_normalized_position,current_contracts_before,target_contracts,delta_contracts,trade_allowed,dry_run
2026-07-01T13:55:00,2012.4,0.2856454849243164,0.2970460647763897,0.5993887782096863,0.2970460647763897,1,1,0,True,True
2026-07-01T14:00:00,2013.2,0.25792208313941956,0.2762623773741838,0.5917056798934937,0.2762623773741838,1,1,0,True,True
2026-07-01T14:05:00,2013.7,0.27785030007362366,0.291471491341675,0.5959517955780029,0.291471491341675,1,1,0,True,True
2026-07-01T14:10:00,2014.8,0.32915642857551575,0.3308293393437309,0.5967656373977661,0.3308293393437309,1,2,1,True,True
2026-07-01T14:15:00,2015.5,0.41231459379196167,0.38976626916853174,0.6062496304512024,0.38976626916853174,2,2,0,True,True
2026-07-01T14:20:00,2014.0,0.6433908343315125,0.6127405877603085,0.36764010787010193,0.6127405877603085,2,3,1,False,True
2026-07-01T14:25:00,2014.8,0.76494961977005,0.7382730407332727,0.24351529777050018,0.0,3,0,-3,False,True
2026-07-02T09:20:00,2022.5,0.04528692737221718,0.0,0.07614374905824661,0.0,0,0,0,True,True
2026-07-02T09:25:00,2020.6,0.3630191385746002,0.45229626376342014,0.08222508430480957,0.45229626376342014,0,2,2,True,True
2026-07-02T09:30:00,2020.0,0.44996342062950134,0.532718360009184,0.07587636262178421,0.532718360009184,2,3,1,True,True
2026-07-02T09:35:00,2016.8,0.4420616626739502,0.527409698195055,0.06793050467967987,0.527409698195055,3,3,0,True,True
2026-07-02T09:40:00,2016.1,0.2783026397228241,0.374322616162698,0.057705216109752655,0.374322616162698,3,2,-1,True,True
2026-07-02T09:45:00,2015.5,0.10441532731056213,0.1797451065625171,0.05362013354897499,0.1797451065625171,2,1,-1,True,True
2026-07-02T09:50:00,2015.2,-0.16562162339687347,-0.2544393742020825,0.04988454654812813,0.0,1,0,-1,True,True
2026-07-02T09:55:00,2016.5,-0.4212842881679535,-0.5126490342919251,0.049082428216934204,-0.5126490342919251,0,-3,-3,True,True
2026-07-02T10:00:00,2017.3,-0.44414636492729187,-0.532555758654093,0.05285045504570007,-0.532555758654093,-3,-3,0,True,True
2026-07-02T10:05:00,2015.4,-0.06315425783395767,0.0,0.05723023787140846,0.0,-3,0,3,True,True
2026-07-02T10:10:00,2016.3,-0.11029975861310959,-0.18703227161849717,0.05698779970407486,0.0,0,0,0,True,True
2026-07-02T10:15:00,2015.5,-0.05064232274889946,0.0,0.06198425590991974,0.0,0,0,0,True,True
2026-07-02T10:20:00,2016.0,-0.0655241310596466,0.0,0.06537239998579025,0.0,0,0,0,True,True
2026-07-02T10:25:00,2015.7,-0.05423719063401222,0.0,0.07268904894590378,0.0,0,0,0,True,True
2026-07-02T10:30:00,2013.2,0.13953298330307007,0.22063346673102627,0.08396212756633759,0.22063346673102627,0,1,1,True,True
2026-07-02T10:35:00,2013.7,-0.07078851014375687,0.0,0.08817557245492935,0.0,1,0,-1,True,True
2026-07-02T10:40:00,2013.1,-0.13210119307041168,-0.20983788483680405,0.10589136183261871,0.0,0,0,0,True,True
2026-07-02T10:45:00,2014.7,-0.3181295692920685,-0.4035565186014673,0.11827646940946579,-0.4035565186014673,0,-2,-2,True,True
2026-07-02T10:50:00,2016.5,-0.3416912853717804,-0.42135929643127246,0.142958864569664,-0.42135929643127246,-2,-2,0,True,True
2026-07-02T10:55:00,2018.3,-0.15788307785987854,-0.2327999009449358,0.17634786665439606,-0.2327999009449358,-2,-1,1,True,True
2026-07-02T11:00:00,2017.1,0.2583328187465668,0.3339204307924225,0.19618122279644012,0.0,-1,0,1,True,True
2026-07-02T11:05:00,2017.3,0.3746906518936157,0.4400553617867794,0.2028324007987976,0.4400553617867794,0,2,2,True,True
2026-07-02T11:10:00,2017.1,0.40247368812561035,0.46174676427583716,0.21550217270851135,0.46174676427583716,2,2,0,True,True
2026-07-02T11:15:00,2016.7,0.41961273550987244,0.4747069341503879,0.22370214760303497,0.4747069341503879,2,2,0,True,True
2026-07-02T11:20:00,2017.2,0.3585798442363739,0.41862172520775653,0.24148818850517273,0.41862172520775653,2,2,0,True,True
2026-07-02T11:25:00,2017.4,0.3613121211528778,0.41686349614721585,0.2637416422367096,0.41686349614721585,2,2,0,True,True
2026-07-02T13:00:00,2014.0,0.5064830183982849,0.5188743976332522,0.33937904238700867,0.5188743976332522,2,3,1,True,True
2026-07-02T13:05:00,2013.7,0.4272887408733368,0.4484258626903863,0.3787611424922943,0.4484258626903863,3,2,-1,True,True
